Membership No  Date Joined  Active  
    94603      2017-9-1     no    
    76503      2020-9-2     yes   
    52361      2018-4-22    no    
    85980      2019-7-21    yes   
    15170      2015-12-20   yes   
    14269      2016-10-23   yes   
    41817      2020-12-7    yes   
    97241      2018-1-23    yes   
    61297      2017-7-10    no    
    10587      2016-11-6    no    
    28507      2017-12-3    yes   
    63674      2020-5-9     yes   
    24813      2016-3-16    yes   
    68189      2018-10-4    no    
    79501      2015-7-13    no    
    58158      2019-12-24   yes   
    49109      2019-12-3    yes   
    50879      2016-6-16    no    
    99732      2017-3-11    no    
    20100      2017-3-4     no    
